2015-08-29 12:00:36 - infiSTAR.de AdminLog | 0h 28min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 12:00:56 - infiSTAR.de AdminLog | 0h 28min | WeskeR Moving to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 12:00:58 - infiSTAR.de AdminLog | 0h 28min | K2LU G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 12:05:09 - infiSTAR.de AdminLog | 0h 32min | WeskeR GroupIcons Activated   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 12:05:29 - infiSTAR.de AdminLog | 0h 33min | WeskeR Moving to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 13:31:17 - infiSTAR.de AdminLog | 1h 59min | GH0ST G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:31:19 - infiSTAR.de AdminLog | 1h 59min | GH0ST adminammo_recoil ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:31:30 - infiSTAR.de AdminLog | 1h 59min | GH0ST TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:36:50 - infiSTAR.de AdminLog | 2h 04min | GH0ST AdminSkinChange GH0ST to WDL_Mercenary_Default5   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:37:31 - infiSTAR.de AdminLog | 2h 05min | GH0ST (76561198018007006) spawned MH6J_DZ @145036   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:39:24 - infiSTAR.de AdminLog | 2h 07min | GH0ST Spectating Jan   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:40:44 - infiSTAR.de AdminLog | 2h 08min | GH0ST Spectating Jan   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:45:05 - infiSTAR.de AdminLog | 2h 12min | GH0ST Spectating Jan   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:48:53 - infiSTAR.de AdminLog | 2h 16min | GH0ST DEADMarker Activated   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:50:47 - infiSTAR.de AdminLog | 2h 18min | GH0ST Weather 0   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:53:06 - infiSTAR.de AdminLog | 2h 20min | GH0ST (76561198018007006) spawned HMMWV_Ambulance_CZ_DES_EP1 @080051   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 13:53:18 - infiSTAR.de AdminLog | 2h 21min | GH0ST saved -  HMMWV_Ambulance_CZ_DES_EP1 (characterID: 0)  - to the database   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 18:56:15 - infiSTAR.de AdminLog | 0h 07min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 19:15:47 - infiSTAR.de AdminLog | 0h 26min | WeskeR Spectating WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 19:15:49 - infiSTAR.de AdminLog | 0h 26min | WeskeR Spectating K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 19:16:45 - infiSTAR.de AdminLog | 0h 27min | WeskeR Spectating    |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 19:18:06 - infiSTAR.de AdminLog | 0h 29min | K2LU G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:19:38 - infiSTAR.de AdminLog | 0h 30min | K2LU G_o_d OFF   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:22:41 - infiSTAR.de AdminLog | 0h 33min | K2LU G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:22:45 - infiSTAR.de AdminLog | 0h 33min | K2LU G_o_d OFF   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:23:58 - infiSTAR.de AdminLog | 0h 34min | WeskeR AdminHeal K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 19:23:59 - infiSTAR.de AdminLog | 0h 34min | WeskeR AdminHeal K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
